dates,stationid,temperature,humidity,pressure,rain,lightavgw/o0,lightmax,moisture
05-07-2018,t11,22.05,83.65,894.634,0,0,4000,0.05
06-07-2018,t11,26.86029,64.97059,894.0100735294,0,24.9873,4000,0.0882
07-07-2018,t11,29.31304,62.42609,893.8089565217,0,31.5125,4000,0.8
08-07-2018,t11,23.53846,61.92308,789.3926923077,3,1,4000,1
09-07-2018,t11,26.8494,61.10241,812.4557228916,15,20.4167,4000,1
10-07-2018,t11,27.88806,75.07463,893.6775373134,13583.25,21.1111,4000,1
11-07-2018,t11,27.35915,76.02113,948.4678873239,19768.5,2254.2024,54612,5.7746
12-07-2018,t11,28.24031,71.54264,1053.3995348837,0,1439.4375,12946,11.9147
13-07-2018,t11,25.5,78.40278,1044.1483333333,20.25,340.5581,4000,11.7569
14-07-2018,t11,28.3007,71.36364,1001.8588111888,0,1022.2414,4000,11.3147
15-07-2018,t11,29.09286,69.27143,1001.9047142857,13.5,785.2619,4000,9.0571
16-07-2018,t11,24.92308,85.0979,1002.9725174825,1260,2160.2771,12387,20.5664
17-07-2018,t11,26.52857,80.95714,1003.6074285714,324,6468.7558,28481,16.6
18-07-2018,t11,28.1223,73.86331,1003.9466906475,40.5,15445.631,54612,12.518
19-07-2018,t11,29.08271,71.09023,1003.4096240602,24.75,9803.7342,54612,10.4211
20-07-2018,t11,28.32867,74.71329,1002.8634965035,679.5,8401.25,52476,13.965
21-07-2018,t11,27.32168,76.97902,1002.6475524476,13.5,4155.9419,54585,11.7902
22-07-2018,t11,25.50649,84.90909,1003.3820779221,0,926.6444,4000,10.5714
27-07-2018,t11,25.00295,85.78909,1009.635339233,9,154.2815,4000,25.3304
28-07-2018,t11,23.76852,88.08333,1009.5210802469,130.5,0,4000,23.4444
01-08-2018,t11,26.6,75.4,1008.0486666667,24.75,10.5,4000,4.4667
05-08-2018,t11,24,91,1009.265,0,54612,54612,0
11-08-2018,t11,27.11321,82.71698,1006.7601886792,2.25,24.08,4000,0
12-08-2018,t11,25.80645,85.29032,1005.37,22.5,29.0435,4000,0
13-08-2018,t11,24.59375,88.02083,1007.3298958333,159.75,26.3864,4000,0
14-08-2018,t11,27.45882,77.25882,1008.7954117647,0,38.18,4000,0
15-08-2018,t11,27.95699,74.6129,1010.7940860215,0,33.3462,4000,0
16-08-2018,t11,27.61856,79.79381,1013.24,0,40.0612,4000,0
17-08-2018,t11,26.93333,80.74444,1010.7674444444,9,40.7111,4000,0
18-08-2018,t11,26.52577,84.52577,1010.0065979381,4.5,1066.8302,54612,0
19-08-2018,t11,27.70588,79.43697,1009.0321848739,0,47.0952,4000,0
20-08-2018,t11,27.48936,81.85106,1010.8653191489,4.5,46.4306,4000,0
21-08-2018,t11,24.12745,90.60784,1011.7700980392,24.75,11.5294,4000,0
22-08-2018,t11,26.81061,83.68939,1010.300530303,0,52.5574,4000,0
23-08-2018,t11,25.46479,90.16901,1009.8571126761,63,28.1644,4000,0
24-08-2018,t11,24.43836,90.41096,1009.3338356164,2.25,4.5,4000,0
25-08-2018,t11,23.08772,90.40351,1008.8433333333,58.5,5.25,4000,0
26-08-2018,t11,24.9863,84.78082,1008.984109589,9,35.7667,4000,0
27-08-2018,t11,26.84211,80.60526,1011.0331578947,0,10,4000,0
28-08-2018,t11,27.66981,78.91509,1012.1749056604,0,38.475,4000,0
29-08-2018,t11,27.60563,80.99296,1012.8342253521,20.25,45,4000,0
30-08-2018,t11,27.37755,79.88776,1010.8864285714,0,54.4032,4000,0
31-08-2018,t11,27.01053,83.14737,1010.7489473684,47.25,41.5735,4000,0
01-09-2018,t11,27.51969,79.58268,1012.7338582677,45,54.2239,4000,2
02-09-2018,t11,25.26667,88.57143,1012.8920952381,9,22.6269,4000,0.7048
03-09-2018,t11,25.45455,87.03788,1012.7250757576,6.75,26.3151,4000,1.8864
04-09-2018,t11,24.79167,86.79167,1012.8283333333,0,16.125,4000,1.2917
05-09-2018,t11,26.63415,80.08537,1012.7931707317,2.25,33.7586,4000,2.4268
06-09-2018,t11,26.56693,74.88189,1012.5954330709,0,39.4265,4000,3.6299
07-09-2018,t11,26.50667,75.45333,1014.4444,0,36.5641,4000,3.4667
08-09-2018,t11,25.9084,76.63359,1015.3435877863,0,53.9296,4000,3.2519
09-09-2018,t11,26.21429,81.82857,1016.4715714286,13.5,37.5758,4000,2.9
10-09-2018,t11,25.70667,80.53333,1017.5270666667,0,45.5789,4000,2.5733
11-09-2018,t11,22.91667,90.95833,1016.4479166667,0,0,4000,1
12-09-2018,t11,20.05882,91.70588,1013.9558823529,0,0,4000,2
13-09-2018,t11,22.88095,90.11905,1011.9395238095,9,15.6875,4000,2.4048
14-09-2018,t11,19.04,90.76,1014.0484,0,0,4000,2.04
15-09-2018,t11,25.30534,74.15267,1017.6895419847,0,52.5,4000,3.8168
16-09-2018,t11,24.23077,70.65035,1016.2322377622,0,52.5,4000,3.6713
17-09-2018,t11,23.28571,65.61039,1015.8812987013,0,46.5227,4000,4.2078
18-09-2018,t11,25.61386,63.61386,1015.5086138614,0,52.5,4000,4.3861
19-09-2018,t11,26.17284,58.2963,1015.9009876543,0,63.1607,4000,5.0741
20-09-2018,t11,21.75,60.43182,1015.7886363636,0,23,4000,3.5227
21-09-2018,t11,26.11957,66.26087,1018.8654347826,0,71.5,4000,4.8043
05-07-2018,t12,21,93.5,882.735,0,302,4000,2
09-07-2018,t12,25.55238,31,1000,1,1,4000,1
13-07-2018,t12,25.55238,31,1005.78,0,447.6,4000,27
16-07-2018,t12,25.55238,86.9619,1005.4980952381,47.25,8768.8228,54612,74.8762
17-07-2018,t12,24.55639,92.56391,1008.3060150376,1710,4488.9103,54612,90.0526
18-07-2018,t12,25.97674,88.37209,1008.6589147287,15459.75,4488.9103,54612,11.9225
19-07-2018,t12,27.4,84.14815,1008.0955555556,14001.75,4488.9103,54612,10.6
20-07-2018,t12,26.42958,90.66197,1007.4725352113,16571.25,4488.9103,54612,17.4507
21-07-2018,t12,25.27536,94.18116,1007.2826086957,1183.5,4488.9103,54612,15.1159
22-07-2018,t12,24.73611,96.68056,1007.7756944444,1962,4488.9103,54612,12.2431
23-07-2018,t12,24.39024,94.4065,1007.8528455285,1071,4488.9103,54612,11.2683
24-07-2018,t12,24.16197,97.66901,1008.6394366197,438.75,4488.9103,54612,11.7394
25-07-2018,t12,25.29323,94.84211,1006.5240601504,13666.5,4488.9103,54612,10.6391
26-07-2018,t12,22.19718,99,1007.2274647887,864,4488.9103,54612,10.3803
27-07-2018,t12,21.73239,98.95775,1007.2274647887,816.75,4488.9103,54612,9.0986
28-07-2018,t12,21.48571,99,1007.24,796.5,4488.9103,54612,8.6643
29-07-2018,t12,25.5,92.52817,1007.3126760563,2.25,4488.9103,54612,8.2606
30-07-2018,t12,25.83206,88.25954,1006.6213740458,0,4488.9103,54612,8
31-07-2018,t12,25.77465,91.26056,1005.9492957746,81,4488.9103,54612,7.6901
01-08-2018,t12,25.36691,91.17986,1006.671942446,191.25,4488.9103,54612,7.0935
02-08-2018,t12,25.68148,91.37778,1007.9955555556,76.5,4488.9103,54612,7.7778
03-08-2018,t12,26.77305,90.69504,1008.0127659574,6.75,4488.9103,54612,7.0426
04-08-2018,t12,22.89286,99,1007.2785714286,4.5,0,4000,7
11-08-2018,t12,24.70769,98.70769,1005.3769230769,0,4510.7541,54612,5
12-08-2018,t12,23.90278,98.23611,1003.9895833333,202.5,4488.9103,54612,5.1319
13-08-2018,t12,22.09929,99,991.6936170213,1611,4488.9103,54612,7.9362
14-08-2018,t12,24.96479,93.75352,1000.4056338028,0,4488.9103,54612,12.8732
15-08-2018,t12,25.11268,93.42958,1000.7725352113,0,4488.9103,54612,13.8944
16-08-2018,t12,25.47183,95.47183,1004.7302816901,56.25,4488.9103,54612,14
17-08-2018,t12,25.00709,95.50355,1009.4567375887,38.25,4488.9103,54612,13.4255
18-08-2018,t12,24.04965,98.95745,1008.5666666667,24.75,4488.9103,54612,13
19-08-2018,t12,25.90972,93.41667,1007.7423611111,0,4488.9103,54612,12.4167
20-08-2018,t12,25.58741,95.84615,1009.5118881119,92.25,4488.9103,54612,12.007
21-08-2018,t12,23.48571,98.89286,1010.2514285714,353.25,4488.9103,54612,10.7429
22-08-2018,t12,25.30496,96.91489,1008.7992907801,4.5,4488.9103,54612,9
23-08-2018,t12,23.52113,99,1008.4598591549,533.25,4488.9103,54612,9.2887
24-08-2018,t12,23.79433,98.41844,1008.1446808511,213.75,4488.9103,54612,9.1135
25-08-2018,t12,24.23077,95.67133,986.093006993,434.25,4488.9103,54612,8.8042
26-08-2018,t12,24.35211,96.46479,1007.5176056338,191.25,4488.9103,54612,8.6761
27-08-2018,t12,26.17857,93.72857,1009.5507142857,0,4488.9103,54612,8
28-08-2018,t12,26.40559,94.02797,1010.6692307692,0,4488.9103,54612,8
29-08-2018,t12,25.48592,96.12676,990.1154929577,202.5,4488.9103,54612,8.007
30-08-2018,t12,24.41667,98,1009.0791666667,67.5,4488.9103,54612,6.8264
31-08-2018,t12,23.72727,98.6993,1009.779020979,594,4488.9103,54612,7.3497
01-09-2018,t12,24.93056,96.49306,1011.3701388889,409.5,4488.9103,54612,6.8333
02-09-2018,t12,22.45775,99,1011.4211267606,139.5,4488.9103,54612,7.1056
03-09-2018,t12,23.14685,99,1011.4167832168,13.5,4488.9103,54612,6.9091
04-09-2018,t12,22.74265,98.26471,1019.4897058824,99,4488.9103,54612,6.9926
05-09-2018,t12,22.85211,98.97183,1011.276056338,13.5,4488.9103,54612,6.3028
06-09-2018,t12,23.97203,97.67832,1011.2013986014,2.25,4488.9103,54612,6
07-09-2018,t12,22.93571,95.49286,1013.7157142857,189,4488.9103,54612,6.1643
08-09-2018,t12,23.23239,96.33099,1014.0232394366,0,4488.9103,54612,6
09-09-2018,t12,23.87324,97.01408,1015.1408450704,333,4488.9103,54612,6.4577
10-09-2018,t12,24.34965,96.6993,1015.7594405594,33.75,4488.9103,54612,6.2587
11-09-2018,t12,22.8951,97.69231,1007.8097902098,468,4488.9103,54612,6.8811
12-09-2018,t12,23.48175,93.68613,987.0530656934,0,4488.9103,54612,6.0657
13-09-2018,t12,22.79861,97.5,1011.5159722222,222.75,4488.9103,54612,6.3333
14-09-2018,t12,21.51128,94.36842,1014.4210526316,6.75,4488.9103,54612,6.015
15-09-2018,t12,22.27465,95.66197,1016.2669014085,0,4488.9103,54612,6
16-09-2018,t12,22.44366,88.35211,1014.8957746479,0,4488.9103,54612,5.6127
17-09-2018,t12,22.02098,86.67133,1010.893986014,0,4488.9103,54612,5.007
18-09-2018,t12,22.1958,86.65035,1014.0832167832,0,4488.9103,54612,5
19-09-2018,t12,23.6383,82.44681,1013.9673758865,0,4488.9103,54612,5
20-09-2018,t12,24.30986,78.67606,1014.8908450704,0,4488.9103,54612,5
21-09-2018,t12,24.57343,85.91608,1017.4581818182,11.25,4488.9103,54612,5
22-09-2018,t12,17.58571,99,1018.9521428571,162,4488.9103,54612,5.6286
23-09-2018,t12,17.44681,99,999.7637588652,15.75,4488.9103,54612,6
24-09-2018,t12,15.93007,99,1015.9888111888,9,4488.9103,54612,6.0629
25-09-2018,t12,20.71831,88.71127,999.0835211268,4.5,4488.9103,54612,5.8028
26-09-2018,t12,22.65957,85.90071,1014.9808510638,2.25,4488.9103,54612,5.0567
27-09-2018,t12,22.1338,85.6338,1016.2873239437,4.5,4488.9103,54612,5
28-09-2018,t12,20.40972,91.5625,1017.7506944444,263.25,4488.9103,54612,5.6389
29-09-2018,t12,21.8169,86.06338,1018.6309859155,0,4488.9103,54612,5.8944
30-09-2018,t12,21.44444,86.74306,1017.3006944444,0,4488.9103,54612,5
01-10-2018,t12,21.67133,84,1010.2727272727,0,4488.9103,54612,5
02-10-2018,t12,21.08451,74.44366,1018.5330985915,0,4488.9103,54612,5
03-10-2018,t12,21.33566,72.51748,1010.7174825175,0,4488.9103,54612,5
04-10-2018,t12,21.16429,64.17857,1012.4764285714,0,4488.9103,54612,5
05-10-2018,t12,20.34722,67.93056,1012.6025694444,0,4488.9103,54612,5
06-10-2018,t12,19.65734,64.42657,1012.5293706294,0,4488.9103,54612,5
07-10-2018,t12,20.32867,68.13287,1018.9832167832,0,4488.9103,54612,4.2028
08-10-2018,t12,20.02113,74.8662,1017.5246478873,0,4488.9103,54612,4
09-10-2018,t12,20.69444,55.63889,1017.7743055556,0,4488.9103,54612,4
10-10-2018,t12,20.03521,50.77465,588.4661971831,6.75,4488.9103,54612,4
11-10-2018,t12,15.47887,83.57746,452.0978873239,0,4488.9103,54612,4
12-10-2018,t12,18.31469,81.73427,1020.4195804196,0,4488.9103,54612,4
13-10-2018,t12,18.125,81.32639,1013.9932638889,0,4488.9103,54612,4
14-10-2018,t12,18.04895,80.82517,1025.6090909091,0,4488.9103,54612,4
15-10-2018,t12,18.22378,74.1958,1005.0323076923,0,4488.9103,54612,4
16-10-2018,t12,18.56028,63.29787,1020.4893617021,0,4488.9103,54612,4
17-10-2018,t12,17.97222,58.71528,1019.1604166667,0,4488.9103,54612,4
18-10-2018,t12,19.30556,57.45139,1011.8069444444,0,4488.9103,54612,4
19-10-2018,t12,20,49.40972,1013.0208333333,0,4488.9103,54612,4
20-10-2018,t12,18.9375,53.94444,1014.925,0,4488.9103,54612,4
21-10-2018,t12,18.97887,52.02113,1021.6411971831,0,4488.9103,54612,3.5915
22-10-2018,t12,18.00699,53.74126,1020.6881118881,0,4488.9103,54612,3
23-10-2018,t12,17.38889,49.10417,1020.6666666667,0,4488.9103,54612,3
24-10-2018,t12,17.83036,53.67857,1021.3178571429,0,4488.9103,54612,3
25-10-2018,t12,17.35417,52.27083,1019.6175694444,0,4488.9103,54612,3
26-10-2018,t12,17.35915,55.43662,1024.0345070423,0,4488.9103,54612,3
27-10-2018,t12,12.57143,61.57143,1023.9,0,0,4000,3
31-10-2018,t12,16.02326,84.37209,1054.7511627907,0,771,4000,3.8372
01-11-2018,t12,16.26866,80.1194,1055.4395522388,0,4488.9103,54612,2.6269
02-11-2018,t12,13.21642,83.6194,1055.2917910448,0,4488.9103,54612,0.7015
03-11-2018,t12,11.27778,97.44444,1054.119047619,0,4488.9103,54612,0
04-11-2018,t12,14.16296,82.41481,1053.4577777778,0,4488.9103,54612,0.9926
05-11-2018,t12,15.00746,76.79851,1053.3156716418,0,4488.9103,54612,2.5373
06-11-2018,t12,14.85714,73.8797,1053.2180451128,0,4488.9103,54612,4.0526
07-11-2018,t12,14.6,69.61538,1053.4130769231,0,4488.9103,54612,5.1923
08-11-2018,t12,14.10526,77.25564,1054.6345864662,0,4488.9103,54612,5.3233
09-11-2018,t12,15.47727,70.69697,1052.6575757576,0,4488.9103,54612,5.6894
10-11-2018,t12,15.63359,71.32061,1053.5488549618,0,4488.9103,54612,5.8015
11-11-2018,t12,13.95522,64.8806,1054.7179104478,0,4488.9103,54612,5.291
12-11-2018,t12,17.06716,50.52985,1053.0567164179,0,4488.9103,54612,8.3134
13-11-2018,t12,14.44444,60.78519,1051.0111111111,0,4488.9103,54612,5.1407
14-11-2018,t12,14.08209,76.37313,1051.876119403,0,4488.9103,54612,2.5672
15-11-2018,t12,12.02239,82.50746,1054.952238806,0,4488.9103,54612,1.3881
16-11-2018,t12,13.43284,75.74627,1052.0537313433,0,4488.9103,54612,2.9851
17-11-2018,t12,13.05263,73.4812,1050.3105263158,0,4488.9103,54612,3.9323
18-11-2018,t12,14.18045,66.03759,1052.4157894737,0,4488.9103,54612,5.2932
19-11-2018,t12,15.30597,64.90299,1055.5835820896,0,4488.9103,54612,5.9851
20-11-2018,t12,15.15909,66.25,1055.8333333333,0,4488.9103,54612,5.6591
21-11-2018,t12,14.63492,59.45238,1055.3436507937,0,4488.9103,54612,7.0159
22-11-2018,t12,13.14286,68.75188,1056.0879699248,0,4488.9103,54612,6.3835
23-11-2018,t12,13.54478,62.60448,1057.8873134328,0,4488.9103,54612,6.9925
24-11-2018,t12,14.58015,54.17557,1055.0961832061,0,4488.9103,54612,9.3359
25-11-2018,t12,16.18557,51.61856,1055.1030927835,0,5282.8254,54612,9.701
09-07-2018,t13,31.375,56.41667,1010.450625,459,1154.4667,4089,0.0208
10-07-2018,t13,29.225,69.15,1008.4746666667,59982.75,11.3091,4000,0
11-07-2018,t13,29.00709,66.64539,1007.4061702128,80000,12.1923,4000,0
12-07-2018,t13,29.16541,66.48872,1006.605112782,75048.75,10.3143,4000,0
13-07-2018,t13,23.152,66.96,967.86592,158,235.1452,4000,7.304
14-07-2018,t13,26.75,64.76316,1008.3994736842,0,2.4103,4000,16.8158
19-07-2018,t13,27.92857,65.76316,1001.6341071429,126,629.7826,4000,31.2857
